COURSE NAME,CLUSTER,COURSE CODE,UNIVERSITY,CUT-OFF POINTS,MINIMUM SUBJECT REQUIREMENTS
BACHELOR OF SCIENCE (INFORMATION SCIENCE),2,1118150,University of Kabianga,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1600151,Alupe University,21.375,Mathematics: C
BACHELOR OF BUSINESS AND MANAGEMENT,2,1700151,Bomet University College,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1080151,Co-operative University of Kenya,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1096151,Garissa University,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,3895151,Islamic University of Kenya,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,5535151,Kabarnet University College,-,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1244151,Karatina University,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1169151,Kenya Highlands Evangelical University,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1108151,Kibabii University,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1079151,Kirinyaga University,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1087651,Kisii University,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1087151,Kisii University,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1530151,Marist International University College,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1229151,Maseno University,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1253151,Moi University,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1279151,Mount Kenya University,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1068447,Pan Africa Christian University,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1073151,Rongo University,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1063154,Technical University of Mombasa,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1500151,The East African University,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1515151,Tom Mboya University,-,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1570151,Turkana University College,21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1181154,"University of Eastern Africa, Baraton",21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1181151,"University of Eastern Africa, Baraton",21.375,
BACHELOR OF BUSINESS AND MANAGEMENT,2,1114151,University of Eldoret,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1600151,Alupe University,19.799,
BACHELOR IN BUSINESS ADMINISTRATION,2,1700151,Bomet University College,19.799,
BACHELOR IN BUSINESS ADMINISTRATION,2,1080151,Co-operative University of Kenya,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1096151,Garissa University,19.799,
BACHELOR IN BUSINESS ADMINISTRATION,2,3895151,Islamic University of Kenya,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,5535151,Kabarnet University College,-,
BACHELOR IN BUSINESS ADMINISTRATION,2,1244151,Karatina University,19.799,
BACHELOR IN BUSINESS ADMINISTRATION,2,1169151,Kenya Highlands Evangelical University,21.375,
BACHELOR IN BUSINESS ADMINISTRATION,2,1108151,Kibabii University,19.799,
BACHELOR IN BUSINESS ADMINISTRATION,2,1079151,Kirinyaga University,19.799,
BACHELOR IN BUSINESS ADMINISTRATION,2,1087651,Kisii University (Business Info & Management),21.375,
